FM	r2	RMSE
-0.05	-37.012548829325475	5.420902686464165
-0.04950505050505051	-35.989077327442715	5.274947216890508
-0.04901010101010101	-34.97972631316068	5.1310054452015335
-0.04851515151515152	-33.98450124947587	4.989078150465554
-0.048020202020202025	-33.0033987722623	4.849164852930487
-0.047525252525252526	-32.036410093130804	4.71126429929962
-0.04703030303030303	-31.083550955834866	4.5753787347619275
-0.04653535353535354	-30.14480835483491	4.441506304620302
-0.04604040404040404	-29.220192395239337	4.309648449946466
-0.04554545454545455	-28.309691541446252	4.179803525668537
-0.04505050505050505	-27.41331743081533	4.051973191369895
-0.04455555555555556	-26.5310644460765	3.926156645981544
-0.044060606060606064	-25.662931544346616	3.8023537407797527
-0.04356565656565657	-24.80892097539586	3.6805647966002866
-0.04307070707070707	-23.96903359963647	3.5607899361450217
-0.04257575757575758	-23.143263679734424	3.44302834122285
-0.04208080808080808	-22.331623345755	3.3272817416810314
-0.04158585858585859	-21.534097637434314	3.213548004062665
-0.041090909090909095	-20.750694023514132	3.1018281934718686
-0.0405959595959596	-19.98141696168271	2.9921229456117184
-0.0401010101010101	-19.22625609285285	2.884430783191021
-0.03960606060606061	-18.485220738939866	2.7787530355917136
-0.03911111111111111	-17.7583033557976	2.675088626956389
-0.03861616161616162	-17.04551163727046	2.5734386544906585
-0.038121212121212125	-16.3468397113351	2.4738022807956064
-0.03762626262626263	-15.662291720831039	2.3761800966742856
-0.03713131313131313	-14.991862416622492	2.28057135355668
-0.03663636363636364	-14.335555883663114	2.186976633990841
-0.03614141414141414	-13.69337049749427	2.095395706315582
-0.03564646464646465	-13.065307745282816	2.0058287826131505
-0.035151515151515156	-12.451365912657435	1.9182756184000702
-0.034656565656565656	-11.851548302035129	1.8327366846282178
-0.034161616161616164	-11.265850013201423	1.7492112824866315
-0.033666666666666664	-10.694272133021279	1.6676995669712102
-0.03317171717171717	-10.136818270943287	1.5882020528190652
-0.03267676767676768	-9.593484611984186	1.5107181959821476
-0.032181818181818186	-9.064275276583416	1.435248584069074
-0.031686868686868694	-8.549184436788941	1.361792385965862
-0.031191919191919194	-8.048216820427433	1.290350275899552
-0.0306969696969697	-7.561370764541767	1.2209220167187556
-0.030202020202020202	-7.088647730315639	1.153507816800308
-0.02970707070707071	-6.630043155375304	1.0881070255121186
-0.029212121212121214	-6.185563737476853	1.0247205980093959
-0.028717171717171718	-5.755203353232117	0.9633476610465305
-0.028222222222222225	-5.33896560069285	0.90398872773535
-0.02772727272727273	-4.936851470849215	0.8466439393992177
-0.027232323232323233	-4.5488572465941175	0.791312765948033
-0.02673737373737374	-4.17498442368787	0.7379954206895414
-0.026242424242424244	-3.815233202618523	0.6866919322149909
-0.025747474747474748	-3.4696042767061996	0.6374023993975441
-0.025252525252525256	-3.138096798018651	0.5901267013150753
-0.02475757575757576	-2.820711033134387	0.5448648759838766
-0.024262626262626263	-2.5174471919848163	0.5016169533418967
-0.02376767676767677	-2.2283052606175433	0.4603829313994091
-0.023272727272727275	-1.9532847372093176	0.42116273859228326
-0.02277777777777778	-1.692385980165029	0.3839564260320097
-0.022282828282828286	-1.4456090784673186	0.3487640064082461
-0.02178787878787879	-1.212953697932388	0.31558543206362943
-0.021292929292929294	-0.9944198981911387	0.2844207115020175
-0.020797979797979798	-0.790007707696319	0.25526984878100645
-0.020303030303030305	-0.5997174681720054	0.2281328926332657
-0.01980808080808081	-0.4235490700779674	0.20300982743745558
-0.019313131313131313	-0.2615022536174805	0.1799006161444225
-0.01881818181818182	-0.11357686153081836	0.15880523632763371
-0.018323232323232325	0.020226706294985575	0.13972374501427517
-0.017828282828282832	0.13990809947296579	0.12265619217241541
-0.017333333333333333	0.24546852748501302	0.10760240531997065
-0.01683838383838384	0.33690680047114274	0.09456255414077916
-0.016343434343434347	0.4142232426611334	0.08353659239700284
-0.015848484848484848	0.4774181779536236	0.07452447389802694
-0.015353535353535355	0.526491632759873	0.06752619487738817
-0.014858585858585863	0.5614431441663252	0.06254182135037409
-0.014363636363636363	0.5822729559598818	0.059571318550963745
-0.01386868686868687	0.5889811563322561	0.058614673902292094
-0.013373737373737378	0.5815675948205291	0.05967190886161122
-0.012878787878787878	0.5600323858683494	0.06274300710831383
-0.012383838383838386	0.5243753728008358	0.06782799098552894
-0.011888888888888893	0.4745967804430602	0.07492682843134876
