FM	r2	RMSE
-0.05	-11.807262993350738	1.3705550189412143
-0.04950505050505051	-11.44055741804225	1.3313124292502156
-0.04901010101010101	-11.079382516066623	1.2926616984207406
-0.04851515151515152	-10.723742579728668	1.2546032857890195
-0.048020202020202025	-10.37363236187357	1.217136629836609
-0.047525252525252526	-10.02905748018884	1.1802623317340974
-0.04703030303030303	-9.690013571611157	1.1439799245731106
-0.04653535353535354	-9.356502124165754	1.1082895675930158
-0.04604040404040404	-9.028524047832356	1.0731913581742818
-0.04554545454545455	-8.706077452996592	1.038685094101927
-0.04505050505050505	-8.389163297771816	1.0047708779073867
-0.04455555555555556	-8.077783454171557	0.971448909922109
-0.044060606060606064	-7.771934748920154	0.9387188505615249
-0.04356565656565657	-7.471618121735254	0.9065808003884741
-0.04307070707070707	-7.176835256353845	0.8750349395861998
-0.04257575757575758	-6.8875847147927285	0.8440811142705275
-0.04208080808080808	-6.603865203478642	0.8137191860111519
-0.04158585858585859	-6.325680633309835	0.7839495733285039
-0.041090909090909095	-6.0530268663573805	0.7547718334067169
-0.0405959595959596	-5.7859059699963025	0.7261861874836321
-0.0401010101010101	-5.524317618153688	0.698192600664919
-0.03960606060606061	-5.268261385817021	0.6707910274683353
-0.03911111111111111	-5.017738339261401	0.6439815820001262
-0.03861616161616162	-4.772748007406495	0.6177642138481534
-0.038121212121212125	-4.533289999914462	0.5921388812408463
-0.03762626262626263	-4.299364420042805	0.5671055952281918
-0.03713131313131313	-4.070970906366953	0.5426643171327412
-0.03663636363636364	-3.8481110255910735	0.5188152146136003
-0.03614141414141414	-3.630782529536008	0.4955580470843742
-0.03564646464646465	-3.418986860436868	0.4728929688842509
-0.035151515151515156	-3.2127247081569887	0.45082005383818885
-0.034656565656565656	-3.0119938745955537	0.4293390667188714
-0.034161616161616164	-2.8167958521590415	0.40845016723451966
-0.033666666666666664	-2.6271307786267535	0.38815337012943246
-0.03317171717171717	-2.4429984253602424	0.3684486509361204
-0.03267676767676768	-2.2643974478622777	0.34933586577470627
-0.032181818181818186	-2.091330130516795	0.3308152591059987
-0.031686868686868694	-1.9237950223698221	0.31288667565777056
-0.031191919191919194	-1.7617920125798734	0.29555010356844336
-0.0306969696969697	-1.6053219699104875	0.278805635807782
-0.030202020202020202	-1.4543842385775916	0.26265320219778254
-0.02970707070707071	-1.3089791942378195	0.24709284293892222
-0.029212121212121214	-1.1691066717265923	0.23212454035629715
-0.028717171717171718	-1.03476663518985	0.21774829061302492
-0.028222222222222225	-0.9059592121882709	0.2039641073598698
-0.02772727272727273	-0.7826841540405449	0.19077196398447777
-0.027232323232323233	-0.6649417537735909	0.17817189184479887
-0.02673737373737374	-0.5527319987825181	0.16616388959193473
-0.026242424242424244	-0.446054565775831	0.15474792262920525
-0.025747474747474748	-0.34490966253546573	0.14392401319216339
-0.025252525252525256	-0.24929740424686808	0.13369217360725166
-0.02475757575757576	-0.15921762804839745	0.12405238644601252
-0.024262626262626263	-0.0746703886362372	0.11500465756169732
-0.02376767676767677	0.00434434880496315	0.10654898322857999
-0.023272727272727275	0.07782653034818354	0.09868536921760064
-0.02277777777777778	0.14577615015963108	0.09141381615305615
-0.022282828282828286	0.20819330939799718	0.08473431320956154
-0.02178787878787879	0.26507782540513314	0.07864687993407568
-0.021292929292929294	0.31642993954138054	0.07315149049768976
-0.020797979797979798	0.3622494098387524	0.06824817079433906
-0.020303030303030305	0.40253637846964163	0.06393690560960293
-0.01980808080808081	0.4372908470171549	0.06021769477406696
-0.019313131313131313	0.4665128183660354	0.057090537979023574
-0.01881818181818182	0.49020215110945164	0.05455545035696771
-0.018323232323232325	0.508359064886138	0.05261240840350426
-0.017828282828282832	0.5209832959761005	0.051261440340335356
-0.017333333333333333	0.5280751749906372	0.050502510787460285
-0.01683838383838384	0.5296345047884806	0.05033564084173273
-0.016343434343434347	0.5256612584326246	0.0507608333857865
-0.015848484848484848	0.5161554440784148	0.05177808754688631
-0.015353535353535355	0.5011170758403994	0.05338740181457948
-0.014858585858585863	0.4805462936649527	0.05558876121266027
-0.014363636363636363	0.45444287179940523	0.05838218989979976
-0.01386868686868687	0.4228069335768663	0.0617676746776423
-0.013373737373737378	0.38563850852354487	0.06574521238647342
-0.012878787878787878	0.34293753707566466	0.07031480940044449
-0.012383838383838386	0.29470403211622553	0.07547646434089558
-0.011888888888888893	0.24093796678400559	0.08123018008235051
-0.011393939393939394	0.18163944328868553	0.08757594568695387
-0.010898989898989901	0.11680836590106847	0.09451377139905927
-0.010404040404040402	0.04644474578113866	0.10204365602439341
-0.009909090909090909	-0.029451533606130953	0.11016561203382276
-0.009414141414141416	-0.11088003679965497	0.11887959282696309
-0.008919191919191917	-0.19784132935924048	0.12818565892656875
-0.008424242424242424	-0.2903351643161243	0.13808378390355192
-0.007929292929292932	-0.38836139389823887	0.14857395194424902
-0.007434343434343432	-0.49192005727122967	0.15965616723992812
-0.00693939393939394	-0.6010114531292006	0.1713304617550068
-0.006444444444444447	-0.7156352423796244	0.1835967992018751
-0.0059494949494949476	-0.8357916762534487	0.19645520646573364
-0.005454545454545455	-0.9614807536684218	0.20990568343076654
-0.004959595959595962	-1.0927020830900402	0.22394818819734386
-0.004464646464646463	-1.2294563030979542	0.23858278910235745
-0.00396969696969697	-1.3717425042807547	0.2538093888261558
-0.0034747474747474777	-1.5195614854373463	0.269628072851316
-0.002979797979797978	-1.6729132730213854	0.28603884400874685
-0.0024848484848484856	-1.8317975716060424	0.30304167068367444
-0.001989898989898993	-1.996213917958913	0.32063650330379756
-0.0014949494949494935	-2.1661632568625406	0.3388234429739705
-0.001	-2.3416447412535413	0.3576023990466463
