FM	r2	RMSE
-0.05	-2.231785607041607	0.5388423970219631
-0.04950505050505051	-2.1062594975550915	0.517913165337417
-0.04901010101010101	-1.9835797886647186	0.4974585199981929
-0.04851515151515152	-1.8637468653539289	0.47747852519338785
-0.048020202020202025	-1.7467603305459578	0.4579731147175596
-0.047525252525252526	-1.6326203379961135	0.4389423142066533
-0.04703030303030303	-1.5213269735968376	0.42038613798169594
-0.04653535353535354	-1.4128797874789663	0.4023045110350578
-0.04604040404040404	-1.3072795077952035	0.38469755477316747
-0.04554545454545455	-1.2045254627569673	0.36756515718730465
-0.04505050505050505	-1.104618155937977	0.3509074022393724
-0.04455555555555556	-1.0075572620760127	0.33472423569771825
-0.044060606060606064	-0.9133429903975123	0.31901569244710526
-0.04356565656565657	-0.8219751486570286	0.30378174043404654
-0.04307070707070707	-0.7334539851339936	0.2890224210546929
-0.04257575757575758	-0.6477792870715606	0.27473769883564875
-0.04208080808080808	-0.5649508163614609	0.2609275340766227
-0.04158585858585859	-0.48496936591806694	0.24759205898189224
-0.041090909090909095	-0.40783419198673454	0.23473114954368451
-0.0405959595959596	-0.33354555791263807	0.22234484967009324
-0.0401010101010101	-0.2621033806896147	0.21043314552132658
-0.03960606060606061	-0.1935078587086443	0.19899607017552906
-0.03911111111111111	-0.1277587256988193	0.1880335792367934
-0.03861616161616162	-0.06485623905797411	0.17754571562160074
-0.038121212121212125	-0.004800341664598529	0.16753246980596176
-0.03762626262626263	0.052409181815689654	0.15799380588672307
-0.03713131313131313	0.10677188587469255	0.14892979814440144
-0.03663636363636364	0.15828841751279543	0.14034033870326476
-0.03614141414141414	0.20695822074668013	0.13222552026357853
-0.03564646464646465	0.2527815365580305	0.12458530264596088
-0.035151515151515156	0.2957583094237032	0.117419695107902
-0.034656565656565656	0.33588856894011576	0.11072869271472907
-0.034161616161616164	0.3731723896482634	0.10451228303806555
-0.033666666666666664	0.4076093662202972	0.09877053365907434
-0.03317171717171717	0.4392000978541213	0.09350334467223131
-0.03267676767676768	0.46794434580541555	0.08871075588387804
-0.032181818181818186	0.49384191457223736	0.08439279989046373
-0.031686868686868694	0.5168930987858175	0.08054942756750494
-0.031191919191919194	0.5370975458977325	0.07718069769614017
-0.0306969696969697	0.5544556083719736	0.07428655150930846
-0.030202020202020202	0.5689671515219883	0.07186701146358138
-0.02970707070707071	0.5806321393741514	0.06992208355691697
-0.029212121212121214	0.5894505090444837	0.06845177827409303
-0.028717171717171718	0.59542238347711	0.06745607511637762
-0.028222222222222225	0.5985478167734091	0.06693496506333431
-0.02772727272727273	0.5988266334537806	0.06688847737304514
-0.027232323232323233	0.5962589465125101	0.06731659320573577
-0.02673737373737374	0.590844783151054	0.06821930802605025
-0.026242424242424244	0.5825840610691343	0.06959663555608668
-0.025747474747474748	0.571476757243807	0.07144857963450882
-0.025252525252525256	0.5575229593810602	0.07377512563791319
-0.02475757575757576	0.5407226047145239	0.07657628403146839
-0.024262626262626263	0.5210757632178631	0.07985204314831845
-0.02376767676767677	0.49858237938594796	0.08360241224295009
-0.023272727272727275	0.4732424643226407	0.0878273894639931
-0.02277777777777778	0.4450560559099621	0.09252696849529864
-0.022282828282828286	0.41402307525605	0.09770116249067246
-0.02178787878787879	0.3801435377650082	0.10334996888175599
-0.021292929292929294	0.3434175483090006	0.10947337018299326
-0.020797979797979798	0.3038450215904773	0.11607138061622378
-0.020303030303030305	0.26142591834558726	0.12314400672799186
-0.01980808080808081	0.21616029706653694	0.13069123876576913
-0.019313131313131313	0.1680481827589485	0.13871307256031573
-0.01881818181818182	0.11708945169031759	0.14720952874181178
-0.018323232323232325	0.06328422979915327	0.1561805863122654
-0.017828282828282832	0.006632517600279164	0.1656262451858389
-0.017333333333333333	-0.05286570539928248	0.1755465087793695
-0.01683838383838384	-0.1152105342543217	0.18594139294154186
-0.016343434343434347	-0.18040165720560442	0.1968108456920846
-0.015848484848484848	-0.24843948160575846	0.20815493494975618
-0.015353535353535355	-0.31932393396187075	0.21997364846092907
-0.014858585858585863	-0.3930548244362253	0.2322669545735624
-0.014363636363636363	-0.46963230129970723	0.24503487800917206
-0.01386868686868687	-0.5490562770244864	0.25827740417405926
-0.013373737373737378	-0.6313267097724122	0.2719945260924612
-0.012878787878787878	-0.7164437459296216	0.2861862681716459
-0.012383838383838386	-0.8044073339426892	0.3008526218160025
-0.011888888888888893	-0.8952173297336472	0.315993563003109
-0.011393939393939394	-0.9888739976650693	0.3316091358106921
-0.010898989898989901	-1.0853770479943674	0.3476992919293621
-0.010404040404040402	-1.1847268528017798	0.36426409339683796
-0.009909090909090909	-1.2869230147066375	0.3813034739570068
-0.009414141414141416	-1.3919657789677324	0.3988174745023817
-0.008919191919191917	-1.499854887349907	0.41680605197687287
-0.008424242424242424	-1.6105907847008045	0.43526928055086145
-0.007929292929292932	-1.7241731080411258	0.45420709970404716
-0.007434343434343432	-1.8406018654080865	0.4736195107764918
-0.00693939393939394	-1.9598770146078777	0.493506506733133
-0.006444444444444447	-2.08199913991842	0.5138681849918548
-0.0059494949494949476	-2.2069675778672773	0.5347044349305055
-0.005454545454545455	-2.334782368533823	0.556015263231603
-0.004959595959595962	-2.465443921459086	0.5778007381787826
-0.004464646464646463	-2.598951949133604	0.6000608118349885
-0.00396969696969697	-2.735306473854811	0.6227954879179183
-0.0034747474747474777	-2.8745074645275372	0.6460047612430092
-0.002979797979797978	-3.016555100149694	0.6696886616549589
-0.0024848484848484856	-3.1614493307967813	0.6938471808297503
-0.001989898989898993	-3.309190035353038	0.7184802985734986
