Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	sf	PDD
R15	2011-02-15	-62.1788734919	-58.90792111060001	54.0	8	-0.1356999999999999	1.6030579	0.010230048	14.427521
R15	2011-02-25	-62.1788734919	-58.90792111060001	54.0	10	-0.235	1.9329168	0.0048142527	21.262085
R15	2011-03-14	-62.1788734919	-58.90792111060001	54.0	17	-0.4941	1.5600027	0.007643615	28.83664
R15	2011-03-22	-62.1788734919	-58.90792111060001	54.0	8	-0.0864999999999999	0.52079266	0.007650613	6.4990845
R15	2011-04-06	-62.1788734919	-58.90792111060001	54.0	15	0.11	-1.983717	0.045858726	1.7106628
R15	2011-04-24	-62.1788734919	-58.90792111060001	54.0	18	0.1614	-3.912564	0.06708296	0.9053955
R15	2011-05-10	-62.1788734919	-58.90792111060001	54.0	16	-0.0157	-4.914337	0.0434812	0.0
R15	2011-05-24	-62.1788734919	-58.90792111060001	54.0	14	0.3301	-2.6481974	0.020930957	1.3513489
R15	2011-06-07	-62.1788734919	-58.90792111060001	54.0	14	-0.0226	-3.0092652	0.039003104	3.1295166
R15	2011-06-20	-62.1788734919	-58.90792111060001	54.0	13	-0.12	-6.3287354	0.026443549	0.0
R15	2011-07-05	-62.1788734919	-58.90792111060001	54.0	15	0.0594000000000001	-4.38941	0.04793468	0.0
R15	2011-07-19	-62.1788734919	-58.90792111060001	54.0	14	0.0242	-6.5730367	0.021053832	0.0
R15	2011-08-07	-62.1788734919	-58.90792111060001	54.0	19	-0.0163	-13.526241	0.03243607	0.0
R15	2011-08-22	-62.1788734919	-58.90792111060001	54.0	15	0.0798	-7.0740547	0.022508103	0.0
R15	2011-09-06	-62.1788734919	-58.90792111060001	54.0	15	0.0056999999999999	-3.804926	0.025545262	0.052856445
R15	2011-09-22	-62.1788734919	-58.90792111060001	54.0	16	-0.0384999999999999	-6.81378	0.050467245	0.0
R15	2011-10-06	-62.1788734919	-58.90792111060001	54.0	14	0.25955	-4.763924	0.0146555845	0.0
R15	2011-10-20	-62.1788734919	-58.90792111060001	54.0	14	0.06185	-1.258014	0.02388516	0.45828247
R15	2011-11-17	-62.1788734919	-58.90792111060001	54.0	28	0.0039799999999999	-0.8152518	0.08928436	2.3907776
